title,url,date
PE Firm Welsh Carson Escapes FTC’s Antitrust Suit against Portfolio Company,https://www.debevoise.com/insights/publications/2024/05/pe-firm-welsh-carson-escapes-ftcs-antitrust-suit,2024-05-16
"ESG Weekly Update – May 15, 2024",https://assets.law360news.com/1835000/1835082/0507order.pdf,2024-05-15
President Biden Issues Order Unwinding Chinese-Owned Cryptocurrency Mining Company Real Estate Acquisition,https://www.debevoise.com/insights/publications/2024/05/president-biden-issues-order-unwinding-chinese,2024-05-15
English High Court Clarifies UK Sanctions “Reasonable Cause to Suspect” Standard,https://www.debevoise.com/insights/publications/2024/05/high-court-clarifies-uk-sanctions-reasonable-cause,2024-05-14
"FDIC Report Expresses Confidence in GSIB Resolution, May Affect Large Regional Bank M&A Prospects and Strategy",https://www.debevoise.com/insights/publications/2024/05/fdic-report-expresses-confidence-in-gsib,2024-05-14
New Climate-Related ESG Disclosures for Hong Kong-Listed Issuers,https://www.debevoise.com/insights/publications/2024/05/new-climate-related-esg-disclosures-for-hong-kong,2024-05-13
"DEA Proposes to Reschedule Marijuana, but Impact for Financial Services Likely Limited",https://www.debevoise.com/insights/publications/2024/05/dea-proposes-to-reschedule-marijuana-but-impact,2024-05-10
Debevoise Digest: Securities Law Synopsis – May 2024,https://www.debevoise.com/insights/publications/2024/05/debevoise-digest-may-securities-law-synopsis,2024-05-01
Global Trade Law Review: European Union Green Bonds Regulation,https://www.debevoise.com/-/media/files/pdf/global-trade-law-review--european-union-green-bond.pdf?rev=ff52f12e85c841359c4fcdc07df8f963&hash=66480950E449016B15E615AA716EA04E,2024-05-09
"ESG Weekly Update – May 8, 2024",https://www.g7italy.it/wp-content/uploads/G7-Climate-Energy-Environment-Ministerial-Communique_Final.pdf,2024-05-08
Impact of SFDR on U.S. Fund Managers,https://www.debevoise.com/insights/publications/2024/05/impact-of-sfdr-on-us-fund-managers,2024-05-08
Delaware Supreme Court Holds MFW Inapplicable Based on Banker Conflict Disclosure Deficiencies,https://www.debevoise.com/insights/publications/2024/05/delaware-supreme-court-holds-mfw-inapplicable,2024-05-03
