title,url,date
Third Circuit Finds Future Royalty Obligations From Sale Transaction Dischargeable in Bankruptcy,https://www.lw.com/admin/upload/SiteAttachments/Third-Circuit-Finds-Future-Royalty-Obligations-From-Sale-Transaction-Dischargeable-in-Bankruptcy.pdf,"May 8, 2024"
Tax Credit Transfer Bridge Loans: Structuring Issues and Considerations,https://www.lw.com/admin/upload/SiteAttachments/Tax-Credit-Transfer-Bridge-Loans-Structuring-Issues-and-Considerations.pdf,"May 3, 2024"
DOL Raises Minimum Salary Thresholds for Overtime Exemptions,https://www.lw.com/admin/upload/SiteAttachments/DOL-Raises-Minimum-Salary-Thresholds-for-Overtime-Exemptions.pdf,"May 2, 2024"
The Legal 500's 2024 Lending & Secured Finance Country Comparative Guide: United States,https://www.lw.com/admin/upload/SiteAttachments/The-Legal-500-United-States-2024-Lending-and-Secured-Finance-Guide-Reprint.pdf,"May 2, 2024"
FCA and PRA Publish Final Securitisation Rules: Key Points,https://www.lw.com/admin/upload/SiteAttachments/FCA-and-PRA-Publish-Final-Securitisation-Rules-Key-Points.pdf,"May 1, 2024"
US Regulators Announce Inquiry Into Healthcare Consolidation,https://www.lw.com/admin/upload/SiteAttachments/US-Regulators-Announce-Inquiry-Into-Healthcare-Consolidation.pdf,"April 30, 2024"
UK Jurisdiction Taskforce Concludes Digital Assets Compatible With English Insolvency Law,https://www.lw.com/admin/upload/SiteAttachments/UK-Jurisdiction-Taskforce-Concludes-Digital-Assets-Compatible-With-English-Insolvency-Law.pdf,"April 29, 2024"
FTC Issues Final Rule to Ban Most Non-Competes,https://www.lw.com/admin/upload/SiteAttachments/FTC-Issues-Final-Rule-to-Ban-Most-Non-Competes.pdf,"April 26, 2024"
Sanctions Update: UK Sanctions Expand to Target Further Russian Metals and Alleged Military Collaborators,https://www.lw.com/admin/upload/SiteAttachments/Sanctions-Update-UK-Sanctions-Expand-to-Target-Further-Russian-Metals-and-Alleged-Military-Collaborators.pdf,"April 26, 2024"
Hong Kong Court Resolves Conflicting Authority on Trust Claims,https://www.lw.com/admin/upload/SiteAttachments/Hong-Kong-Court-Resolves-Conflicting-Authority-on-Trust-Claims.pdf,"April 26, 2024"
German Residential Portfolios: Market Outlook,https://www.lw.com/admin/upload/SiteAttachments/German-Residential-Portfolios-Market-Outlook.pdf,"April 25, 2024"
Sanctions Update: EU Tightens Restrictions on Professional Services and Business-Critical Software for Russia,https://www.lw.com/admin/upload/SiteAttachments/Sanctions-Update-EU-Tightens-Restrictions-on-Professional-Services-and-Business-Critical-Software-for-Russia.pdf,"April 25, 2024"
"Biotechs Turn to Licensing, Collaboration Deals for Capital",https://www.lw.com/admin/upload/SiteAttachments/Biotechs-Turn-to-Licensing-Collaboration-Deals-for-Capital.pdf,"April 24, 2024"
Key Takeaways From SEC’s First “Off-Channel Communications” Settlement With Stand-Alone Registered Investment Adviser,https://www.lw.com/admin/upload/SiteAttachments/Key-Takeaways-From-SEC-First-Off-Channel-Communications-Settlement.pdf,"April 24, 2024"
The Case Against the SEC’s Final Climate Rules Begins in Earnest (and What It Means),https://www.lw.com/admin/upload/SiteAttachments/04-20-2024-the-case-against-the-secs-final-climate-rules-begins-in-earnest-and-what-it-means.pdf,"April 22, 2024"
